hotel,hotel_url,description,popular_facilities,city,country
Zoku Paris,https://www.booking.com/hotel/fr/zoku-paris.es.html?aid=2410095,"Zoku Paris está en París y dispone de vistas a la ciudad, centro de fitness, salón de uso común, terraza, restaurante y bar. Hay wifi gratis en todo el alojamiento.

El apartahotel ofrece zona de estar con TV de pantalla plana y baño privado con artículos de aseo gratuitos, secador de pelo y ducha. Algunas unidades también tienen una cocina equipada con nevera, lavavajillas y microondas.

Zoku Paris ofrece desayuno buffet o continental.

El alojamiento ofrece servicio de alquiler de bicicletas.

Arco del Triunfo está a 3,2 km del alojamiento, y Estación de metro Pigalle está a 3,2 km. El aeropuerto (Aeropuerto de París - Charles de Gaulle) está a 21 km.","ñ, ó, e, 4, R,  , a, n, b, p, j, l, s, o, C, r, ,, g, c, F, f, i, W, T, H, 2, V, A, v, B, h, t, u, d, m",París,Francia
Hôtel Vic Eiffel,https://www.booking.com/hotel/fr/ha-tel-vic-eiffel.es.html?aid=2410095,"El Hôtel Vic Eiffel, situado en el distrito 15.º de París, ofrece recepción 24 horas, patio y consigna de equipaje. Está a 20 minutos a pie de la Torre Eiffel.

Todas las habitaciones disponen de aire acondicionado, TV de pantalla plana, cafetera Nespresso y té Kusmi. El baño es privado y está equipado con secador de pelo y artículos de aseo gratuitos.

Todas las mañanas, el Hôtel Vic Eiffel sirve un desayuno exprés o buffet. Hay un restaurante a poca distancia a pie.

También hay ascensor, habitaciones para personas con discapacidad y WiFi gratuita en todas las instalaciones. La estación de metro de Sèvres-Lecourbe (línea 6) está al lado del hotel y ofrece acceso directo al distrito de los Campos Elíseos y la estación de tren de Montparnasse.",,París,Francia
MIJE MARAIS Hostel,https://www.booking.com/hotel/fr/mije-marais.es.html?aid=2410095,"El MIJE MARAIS Hostel, que se encuentra en el centro del Marais, cuenta con 3 establecimientos excepcionales: el Mije Fourcy, el Fauconnier y el Maubuisson.

El MIJE MARAIS Hostel cuenta con un ubicación ideal, en el distrito 4 de París, a 1,2 km del Centro Pompidou, a 1,4 km de la Ópera de la Bastilla y a 1,6 km de la catedral de Notre Dame. Tiene recepción 24 horas, consigna de equipaje, restaurante y WiFi gratuita. Este hostal tiene habitaciones familiares.

Los baños son compartidos e incluyen ducha. Los aseos están en el rellano, cerca de las habitaciones.

El alojamiento sirve todas las mañanas un desayuno continental sencillo.

El alojamiento está abierto a todos los públicos y acoge a numerosos grupos de todo el mundo (como estudiantes o asociaciones).

El MIJE MARAIS Hostel dispone de terraza.

El hostal está a 1,6 km de Sainte-Chapelle y a 1,8 km del Museo del Louvre. El aeropuerto más cercano es el de París - Orly, a 16 km del MIJE MARAIS Hostel.",,París,Francia
Maison le Bac Paris Aparthotel,https://www.booking.com/hotel/fr/masion-le-bac-apt-101b.es.html?aid=2410095,"Maison le Bac Paris Aparthotel se encuentra en el centro de París, a 17 min a pie de Museo del Louvre y a 1,4 km de Gare de l'Est, y ofrece alojamiento con wifi gratis y zona de estar.

El alojamiento está equipado con TV de pantalla plana y baño privado con ducha y artículos de aseo gratuitos. La cocina dispone de nevera, horno y microondas. También se ofrece tostadora, además de cafetera y hervidor.

Cerca del alojamiento hay puntos de interés como Centro Pompidou, Ópera Garnier y Gare du Nord. El aeropuerto más cercano (Aeropuerto de París - Orly) está a 17 km del alojamiento.","q, L, ñ, ó, e,  , a, n, b, p, j, l, s, o, C, r, ,, g, c, F, f, i, W, H, A, v, B, h, t, G, u, d, m",París,Francia
Hotel Antin Trinité,https://www.booking.com/hotel/fr/antin-trinite.es.html?aid=2410095,"El Hôtel Antin Trinité goza de una ubicación céntrica, frente a los conocidos grandes almacenes Galeries Lafayette. Se encuentra a tan solo 500 metros de la ópera Garnier y del elegante barrio de la Madeleine.

Las habitaciones del Antin Trinité presentan una decoración en tonos luminosos y cuentan con TV por cable y vía satélite con Canal+ y Bein Sports y teléfono. El baño privado tiene ducha y secador de pelo.

El desayuno buffet se sirve en la sala de desayunos o en las habitaciones. También hay prensa diaria. Asimismo, se proporciona servicio nocturno de habitaciones y consigna de equipaje.

La recepción 24 horas dispone de una consigna de equipaje y organiza servicio de enlace con el aeropuerto. Asimismo, este hotel se halla a 2 minutos a pie de la estación de metro de Chaussée d'Antin - La Fayette, que enlaza con el Louvre.",,París,Francia
Hotel Studia,https://www.booking.com/hotel/fr/studia.es.html?aid=2410095,"El Hotel Studia está situado en el animado Barrio Latino y ofrece alojamiento apto para mascotas en París. Hay WiFi gratuita en todo el edificio y las habitaciones son de estilo clásico.

Las habitaciones están equipadas con TV de pantalla plana y baño privado con secador de pelo y artículos de aseo gratuitos.

El establecimiento está a poca distancia a pie de varios lugares de interés turístico, como la catedral de Notre Dame y los jardines de Luxemburgo. El aeropuerto de París-Orly es el más cercano y se halla a 13 km.",,París,Francia
Tipi,https://www.booking.com/hotel/fr/tipi.es.html?aid=2410095,"Este hotel se encuentra en el centro de París, a 750 metros de la estación de tren de Montparnasse. Ofrece recepción 24 horas, un patio lleno de flores y habitaciones con conexión Wi-Fi gratuita.

Las habitaciones disponen de TV de pantalla plana, escritorio y baño privado con secador de pelo.

Cada mañana se sirve un desayuno bufé en la elegante sala de desayunos del hotel Tipi. En la misma calle del hotel encontrará un mercado.

El hotel Tipi está a 1,4 km de los Jardines de Luxemburgo y a 550 metros de la estación de metro Gaité, que comunica con los Campos Elíseos. Hay aparcamiento público en los alrededores.",,París,Francia
Hôtel Joe M,https://www.booking.com/hotel/fr/centre.es.html?aid=2410095,"Este establecimiento de 3 estrellas está situado a solo 2 minutos a pie de las estaciones de metro Grands Boulevards y Le Peletier y ofrece WiFi gratuita y un bar salón. La Ópera Garnier y las tiendas de lujo Galeries Lafayette y Printemps se encuentran a 10 minutos a pie.

Las habitaciones del Hôtel Joe M presentan una decoración actual y disponen de TV LCD con canales vía satélite y set para preparar bebidas calientes. Se puede acceder a todas en ascensor tradicional.

El Hôtel Joe M sirve un desayuno buffet con repostería francesa, huevos y salchichas. En la recepción 24 horas se proporciona prensa gratuita y servicio de enlace con el aeropuerto.

Los huéspedes pueden alquilar bicicletas públicas, y el Museo del Louvre está a 20 minutos a pie. Además, la red de transporte local comunica directamente con la plaza de la Concordia, la Torre Eiffel y la animada plaza de la República.",,París,Francia
District Republique,https://www.booking.com/hotel/fr/district-republique.es.html?aid=2410095,"El District Republique está ubicado en París, a 500 metros de la plaza de la República y del canal Saint-Martin. Este hotel, reformado en julio de 2020, ofrece habitaciones con TV, WiFi gratuita y baño privado.

Se puede llegar a todas las habitaciones en ascensor. El District Republique sirve un desayuno continental.

La estación de metro République ofrece enlaces con todas las zonas de París. El District Republique se encuentra a 1,2 km de la estación de tren Gare du Nord. El hotel también cuenta con recepción 24 horas.",,París,Francia
Hôtel LOCOMO,https://www.booking.com/hotel/fr/adriatic.es.html?aid=2410095,"El Hôtel LOCOMO se encuentra en París.

Las habitaciones incluyen WiFi gratuita, TV, aire acondicionado y baño. La recepción también proporciona secadores de pelo y utensilios de planchado.

El Hôtel LOCOMO cuenta con recepción abierta las 24 horas y consigna de equipaje.

El hotel se encuentra a 200 metros de la estación Gare de Lyon y del servicio de traslado en autobús AirFrance, que conecta directamente con el aeropuerto Charles de Gaulle. También está a 600 metros de la ópera de la Bastilla y a 900 metros del AccorHotels Arena. El aeropuerto de París-Charles de Gaulle está a 22 km.",,París,Francia
Hotel CIS Paris Maurice Ravel,https://www.booking.com/hotel/fr/ra-c-sidence-cisp-ravel.es.html?aid=2410095,"Este establecimiento se encuentra a 5 minutos a pie de la estación de tranvía de Montempoivre y dispone de conexión Wi-Fi gratuita en las zonas comunes, restaurante de autoservicio y consigna de equipaje. Las habitaciones están equipadas con TV.

Todas las habitaciones de la Résidence CISP Ravel cuentan con armario, escritorio y baño privado con ducha.

Todos los días se sirve un desayuno continental en el comedor.

La estación de metro de Bel Air se encuentra a 15 minutos a pie y el lago y el parque de Saint-Mandé están a 1 km. La estación de trenes de Chatelet está a 30 minutos en metro, mientras que la estación de trenes Gare de Lyon está a 20 minutos en metro del establecimiento.",,París,Francia
Berkeley,https://www.booking.com/hotel/fr/berkeley.es.html?aid=2410095,"Este hotel está situado en el animado barrio de Montparnasse, a solo 200 metros de la Torre Montparnasse. Ofrece recepción las 24 horas y conexión WiFi gratuita en las habitaciones.

Las habitaciones, decoradas con sencillez, cuentan con minibar y TV con Canal+. Los baños privados disponen de bañera.

Todas las mañanas se sirve un desayuno continental en la sala de desayunos del hotel Berkeley.

El hotel está a solo 160 metros de la estación de metro Montparnasse-Bienvenue, que ofrece un enlace directo con el Museo Rodin. Los Jardines de Luxemburgo está a 10 minutos a pie.",,París,Francia
Timhotel Montmartre,https://www.booking.com/hotel/fr/timmontmartre.es.html?aid=2410095,"El Timhotel está situado en el barrio parisino de Montmartre y ofrece habitaciones con conexión Wi-Fi gratuita, TV de pantalla plana y baño privado.

Todas las mañanas se sirve un desayuno bufé en el Timhotel Montmartre. El hotel también dispone de recepción 24 horas, donde se pueden solicitar secadores de pelo y utensilios de planchado.

El Tinhotel Montmartre se encuentra a 5 minutos a pie de la basílica del Sacré Coeur, del Moulin Rouge y del Museo Dalí, y a 100 metros de la estación de metro de Abbesses, que comunica directamente con la estación de Montparnasse.",,París,Francia
Timhotel Opera Madeleine,https://www.booking.com/hotel/fr/timoperamadeleine.es.html?aid=2410095,"El establecimiento Timhotel Opera Madeleine está ubicado en París, a solo 180 metros de la estación de metro Saint-Lazare. Ofrece habitaciones con aire acondicionado, WiFi gratuita y TV por cable/vía satélite.

Todas las habitaciones del Timhotel disponen de set de té y café y son accesibles en ascensor.

El alojamiento cuenta con recepción 24 horas. Se sirve desayuno buffet diario. Se elaboran pasteles y pan francés en el propio establecimiento.

El salón del Timhotel Opera Madeleine ofrece conexión gratuita a internet, además de té y café gratuitos. En la recepción hay planchas, disponibles por un depósito. 

El establecimiento Timhotel Opera Madeleine está bien situado en plena margen derecha de París, junto a la estación de metro Saint-Lazare, por lo que está bien comunicado con lugares como la Place de la Madeleine, la plaza de la Concordia y la Ópera Garnier.",,París,Francia
Hotel de L'Esperance,https://www.booking.com/hotel/fr/de-l-39-esperance.es.html?aid=2410095,"El Hotel de L'Esperance se encuentra en París, a 2 minutos a pie de la animada calle Rue Mouffetard, y alberga un patio interior. El alojamiento está situado a 10 minutos a pie de la Place Monge y del Barrio Latino. Además, hay WiFi gratuita en todas las instalaciones.

Todas las habitaciones incluyen aire acondicionado, TV de pantalla plana y baño privado con bañera o ducha.

El Hotel de L'Esperance cuenta con recepción las 24 horas, consigna de equipaje y servicio de conserjería. También hay máquinas expendedoras de aperitivos y bebidas.

Además, se proporciona servicio de alquiler de coches. El hotel se halla a 350 metros de la estación de metro Censier Daubenton, que proporciona conexiones con el centro de París en 20 minutos. Asimismo, el alojamiento está ubicado a 1,5 km del barrio de Buttes aux Cailles.",,París,Francia
Exe Paris Centre,https://www.booking.com/hotel/fr/exe-paris-centre.es.html?aid=2410095,"El Exe Paris centre se encuentra entre los barrios de Montmartre y Opera, a 5 minutos a pie de la estación de tren de Saint-Lazare. Ofrece habitaciones con aire acondicionado, baño de mármol y TV con canales vía satélite.

Las habitaciones son modernas y están insonorizadas. Presentan una decoración en tonos neutros e incluyen muebles de madera, conexión Wi-Fi gratuita, minibar y baño privado con secador de pelo y artículos de aseo.

El establecimiento sirve un desayuno buffet cada mañana. También ofrece servicio de habitaciones. El Exe Paris centre cuenta con servicio de información turística y recepción abierta las 24 horas.

El hotel está a solo 15 minutos a pie de la ópera Garnier y la Madeleine. El jardín de las Tullerías y el Museo del Louvre se encuentran a 2 km.","q, ó, e, 4, R,  , a, n, b, p, j, l, s, o, C, r, g, ,, J, c, F, S, í, f, i, W, T, H, 2, A, v, h, t, G, u, z, d, m",París,Francia
Les Rebelles,https://www.booking.com/hotel/fr/les-couleurs-de-belleville.es.html?aid=2410095,"Les Rebelles es un alojamiento de 3 estrellas que se encuentra en París, a 2,8 km de Centro Pompidou, y que dispone de bar. El alojamiento está a unos 2,9 km de Gare de l'Est, a 3,3 km de Gare du Nord y a 3,6 km de Ópera de la Bastilla. Hay wifi gratis y se ofrece parking privado por un suplemento.

En el hotel, cada habitación tiene escritorio, TV de pantalla plana, baño privado, ropa de cama y toallas. Las habitaciones cuentan con nevera.

El desayuno diario ofrece opciones buffet, continentales o vegetarianas.

En la recepción 24 horas se habla inglés y francés, y el personal estará encantado de dar información sobre la zona.

Catedral Notre Dame de París está a 3,8 km del alojamiento, y Museo del Louvre está a 3,9 km. El aeropuerto más cercano (Aeropuerto de París - Orly) está a 21 km del alojamiento.",,París,Francia
Hotel d'Espagne,https://www.booking.com/hotel/fr/d-espagne-paris.es.html?aid=2410095,"El Hotel d'Espagne se encuentra en el centro de París, a 12 minutos a pie de la ópera Garnier y de las famosas zonas comerciales. La recepción permanece abierta las 24 horas y su personal habla varios idiomas.

Las habitaciones del Hotel d'Espagne cuentan con WiFi gratuita, TV de pantalla plana con canales vía satélite y caja fuerte. Todas disponen de baño privado con bañera o ducha, secador de pelo y artículos de aseo gratuitos.

Cada mañana se sirve un desayuno continental en la zona de comedor o en la habitación. El desayuno incluye bollería, bebidas calientes, zumos de fruta fresca, pan, huevos duros, queso, jamón y yogur.

La estación de metro de Grands Boulevards está a 3 minutos a pie y ofrece servicio directo a los Campos Elíseos, la torre Eiffel y el Jardín de las Tullerías.",,París,Francia
Hôtel Aiglon,https://www.booking.com/hotel/fr/aiglon.es.html?aid=2410095,"Este hotel de diseño está situado en el corazón del barrio de Montparnasse, a solo 30 metros de la parada de metro Raspail. Las habitaciones son modernas y elegantes y disponen de wifi gratuita.

Todas las habitaciones del Aiglon están insonorizadas y cuentan con aire acondicionado, minibar y TV vía satélite. Se puede acceder a todas las habitaciones en ascensor. El hotel ha sido completamente reformado en 2023.

Todas las mañanas, el hotel Aiglon sirve un desayuno continental, que se podrá disfrutar en el comedor o en la comodidad de la habitación. Los huéspedes pueden relajarse con una copa en el bar o en el salón con biblioteca.

El Aiglon también cuenta con recepción 24 horas con registro de entrada exprés, servicio de alquiler de coches y mostrador de información turística.",,París,Francia
Yuna Porte-Maillot - ApartHotel,https://www.booking.com/hotel/fr/yuna-porte-maillot-aparthotel.es.html?aid=2410095,"Yuna Porte-Maillot - ApartHotel ofrece alojamiento en París, a 15 min a pie de Palacio de Congresos de París y a 2,5 km de Arco del Triunfo. Se ofrece wifi gratis en todo el alojamiento.

El alojamiento tiene aire acondicionado, cocina totalmente equipada y con zona de comedor, TV de pantalla plana y baño privado con ducha, artículos de aseo gratuitos y secador de pelo. También hay lavavajillas, microondas y minibar, además de cafetera.

En el apartahotel se sirve todas las mañanas un desayuno continental.

Torre Eiffel está a 4,5 km del alojamiento, y Gare Saint-Lazare está a 4,9 km. El aeropuerto más cercano (Aeropuerto de París - Orly) está a 23 km.","q, ñ, ó, e,  , a, n, b, p, j, l, s, o, C, r, g, ,, c, F, f, i, W, T, H, A, B, h, t, G, u, z, d, m",París,Francia
Le Petit Beaumarchais Hotel & Spa,https://www.booking.com/hotel/fr/original-paris.es.html?aid=2410095,"Este hotel es moderno y está situado en el centro de París, a 3 minutos a pie de la plaza de la Bastilla y de la plaza de los Vosgos. El establecimiento alberga un bar y ofrece habitaciones con una decoración alegre y WiFi gratuita.

Las habitaciones están insonorizadas, presentan una exclusiva decoración moderna y cuentan con soporte para iPod, TV de pantalla plana, aire acondicionado y baño privado con bañera o ducha y artículos de aseo ecológicos gratuitos.

El Hotel Original Paris ofrece un desayuno a diario que puede servirse en la zona de desayunos del hotel o en las habitaciones. Cerca del hotel hay varios restaurantes. Cada día de 13:00 a 18:00 los huéspedes pueden tomar una taza de té o café en la zona de salón.

El hotel se encuentra a 150 metros de la estación de metro de Bastille, a 2 km de la catedral Notre Dame de París y a 15 minutos a pie del río Sena y de la isla Saint-Louis.",,París,Francia
Hôtel L'Interlude,https://www.booking.com/hotel/fr/citotel-sport-hotel.es.html?aid=2410095,"El Hôtel L'Interlude está situado en el distrito 12 de París, entre la Place Daumesnil y el tranquilo parque de Bois de Vincennes. Hay conexión WiFi gratuita ilimitada.

Las habitaciones han sido reformadas y disponen de teléfono, TV de pantalla plana, ventanas con doble acristalamiento y baño privado. Algunas habitaciones tienen vistas a un patio interior con flores.

El desayuno buffet se sirve todos los días de 07:00 a 10:00 en la sala de desayunos.

El Hôtel L'Interlude se encuentra cerca de la parada de metro de Michel Bizot, que permite acceder en solo unos minutos al centro de París.",,París,Francia
Le Petit Oberkampf Hotel & Spa,https://www.booking.com/hotel/fr/beaumarchais.es.html?aid=2410095,"Este hotel se encuentra a 10 minutos a pie del distrito Northern Marais y del canal Saint-Martin. La estación de metro de Filles du Calvaire se halla a 180 metros y ofrece acceso directo a la ópera Garnier y a las Galerías Lafayette.

Las habitaciones presentan una decoración sencilla y están equipadas con aire acondicionado, TV vía satélite, teléfono, zona de trabajo y baño con ducha y secador de pelo.

El hotel sirve todas las mañanas un desayuno buffet, que en verano se puede degustar en el patio. Además, cuenta con recepción abierta las 24 horas y prensa gratuita en el vestíbulo.

La estación de tren de París Est está a 11 minutos en transporte público.",,París,Francia
Hôtel Madeleine Haussmann,https://www.booking.com/hotel/fr/hotel-madeleine-haussman.es.html?aid=2410095,"Este hotel ofrece habitaciones de estilo contemporáneo y se halla a 16 minutos a pie de los Campos Elíseos y a 450 metros de la iglesia de la Madeleine, de la plaza de la Concordia y del Museo del Louvre. El hotel alberga un bar salón y cuenta con WiFi gratuita.

Las habitaciones del Madeleine Haussmann presentan una decoración con molduras, cornisas y detalles en madera. Además, están equipadas con escritorio, aire acondicionado, minibar, teléfono y TV de pantalla plana con canales vía satélite. Los baños lucen una decoración de la década de 1920 en tonos gris azulado. El ascensor llega a todas las habitaciones.

El Hôtel Madeleine Haussmann sirve un desayuno buffet a diario. Este hotel cuenta con bar y servicio de habitaciones.

El personal de la recepción 24 horas del hotel ofrece un servicio de reserva de excursiones. Hay prensa diaria gratuita en la zona del vestíbulo.

El Hôtel Madeleine Haussmann se encuentra a 550 metros de la estación de tren Saint Lazare. La ópera Garnier y las Galerías Lafayette quedan a 10 minutos a pie.",,París,Francia
Generator Paris,https://www.booking.com/hotel/fr/generator-paris.es.html?aid=2410095,"El Generator Paris es un hostal de diseño situado en el animado distrito 10º de París. Dispone de conexión WiFi gratuita y cuenta con una zona de salón elegante con sala de juegos. El establecimiento alberga el Café Fabien, que sirve platos de inspiración local, y un bar donde se puede tomar una copa y escuchar música de DJ.

Las habitaciones son de estilo contemporáneo y disponen de aire acondicionado, ropa de cama y baño privado con ducha. Algunas también tienen una terraza privada.

El albergue sirve un desayuno continental cada mañana. La recepción está abierta las 24 horas. Además, se ofrece una sala de lavandería, una terraza y un salón compartido con una decoración del norte de África.

El canal St Martin, a solo 5 minutos a pie, hay muchos bares, restaurantes y tiendas de época. El albergue se encuentra a 900 metros de la estación de metro Gare de l'Est y a 700 metros del parque Buttes-Chaumont.","ñ, ó, e, 4, R,  , a, n, b, p, j, l, s, o, r, g, ,, c, F, S, i, W, T, H, 2, V, A, v, B, h, t, u, z, d, m",París,Francia
