hotel,price,score,avg review,reviews count,image_links,hotel_url
Smart Hotel Montevideo,US$70,"8,6",Fabuloso,2.113,https://cf.bstatic.com/xdata/images/hotel/square200/39837703.webp?k=bd613b3535977ff6d3f266b283986681dd268059d55f3bbb7576f2b0a8518a56&o=,https://www.booking.com/hotel/uy/smart-montevideo.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633968&all_sr_blocks=116517101_89188931_1_2_0&highlighted_blocks=116517101_89188931_1_2_0&matching_block_id=116517101_89188931_1_2_0&sr_pri_blocks=116517101_89188931_1_2_0__7000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel Hispano,US$49,"7,6",Bien,1.973,https://cf.bstatic.com/xdata/images/hotel/square200/329846657.webp?k=1c709ad9e96e034170e48af8d83262d34f246c3a8cd4e2b675ed0cdb1ac95ca3&o=,https://www.booking.com/hotel/uy/hispano.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633968&all_sr_blocks=31207401_89160692_0_0_0&highlighted_blocks=31207401_89160692_0_0_0&matching_block_id=31207401_89160692_0_0_0&sr_pri_blocks=31207401_89160692_0_0_0__4875&from=searchresults#hotelTmpl
Hampton By Hilton Montevideo Carrasco,US$139,"8,5",Muy bien,2.417,https://cf.bstatic.com/xdata/images/hotel/square200/484118323.webp?k=46ce8cb5b4aeb6d7ddba09d1b35627930a5e157cc19f04da94ebf3ee1d64e0b7&o=,https://www.booking.com/hotel/uy/hampton-by-hilton-montevideo-carrasco.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633976&all_sr_blocks=247027201_274562642_2_1_0&highlighted_blocks=247027201_274562642_2_1_0&matching_block_id=247027201_274562642_2_1_0&sr_pri_blocks=247027201_274562642_2_1_0__13900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel Tres Cruces,US$65,"7,8",Bien,2.100,https://cf.bstatic.com/xdata/images/hotel/square200/21532416.webp?k=048b28f9f27e1f2e3ea0ba1236f9faad33861b53754614cb6729d20d3c895f16&o=,https://www.booking.com/hotel/uy/tres-cruces.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633976&all_sr_blocks=59191003_265777979_0_2_0&highlighted_blocks=59191003_265777979_0_2_0&matching_block_id=59191003_265777979_0_2_0&sr_pri_blocks=59191003_265777979_0_2_0__6500&from=searchresults#hotelTmpl
Days Inn by Wyndham Montevideo,US$66,"8,1",Muy bien,3.535,https://cf.bstatic.com/xdata/images/hotel/square200/285904296.webp?k=af5b29aba883b3c08d24711e029a2b674d3229805aef346c7b317ce1348a51cd&o=,https://www.booking.com/hotel/uy/days-inn.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633976&all_sr_blocks=24655511_362025972_2_2_0&highlighted_blocks=24655511_362025972_2_2_0&matching_block_id=24655511_362025972_2_2_0&sr_pri_blocks=24655511_362025972_2_2_0__6600&from=searchresults#hotelTmpl
Dazzler by Wyndham Montevideo,US$125,"8,0",Muy bien,5.993,https://cf.bstatic.com/xdata/images/hotel/square200/514745014.webp?k=48c74f20d4012cfee7722140bf5323d9cfdf3a713f08123f092daaf70c6e5239&o=,https://www.booking.com/hotel/uy/dazzler-montevideo.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633976&all_sr_blocks=55450714_266394543_2_1_0&highlighted_blocks=55450714_266394543_2_1_0&matching_block_id=55450714_266394543_2_1_0&sr_pri_blocks=55450714_266394543_2_1_0__12500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel Palacio,US$48,"8,8",Fabuloso,2.148,https://cf.bstatic.com/xdata/images/hotel/square200/270224943.webp?k=25f1668e9314b976c5e8aa06de4b05c13159822fc1819a409f69f1a037d52b9c&o=,https://www.booking.com/hotel/uy/palacio.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633976&all_sr_blocks=40020801_278177017_0_0_0&highlighted_blocks=40020801_278177017_0_0_0&matching_block_id=40020801_278177017_0_0_0&sr_pri_blocks=40020801_278177017_0_0_0__4800&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
ibis Montevideo Rambla,US$65,"8,2",Muy bien,2.592,https://cf.bstatic.com/xdata/images/hotel/square200/251931020.webp?k=1fdc458ad2f0a8785b3574090e2f7f5823c9a1b8dda662f0836c702ace900637&o=,https://www.booking.com/hotel/uy/ibis-montevideo-montevideo.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633976&all_sr_blocks=48367101_377053749_2_2_0&highlighted_blocks=48367101_377053749_2_2_0&matching_block_id=48367101_377053749_2_2_0&sr_pri_blocks=48367101_377053749_2_2_0__6500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Circus Hostel&Hotel Montevideo,US$18,"8,3",Muy bien,1.736,https://cf.bstatic.com/xdata/images/hotel/square200/132767886.webp?k=41b20b62d24b242f4b6a5eecde70d4d32047a24a14e1cf927b39938f5fe1e9c6&o=,https://www.booking.com/hotel/uy/circus-hostel-amp-montevideo.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633976&all_sr_blocks=291382202_381373332_0_0_0&highlighted_blocks=291382202_381373332_0_0_0&matching_block_id=291382202_381373332_0_0_0&sr_pri_blocks=291382202_381373332_0_0_0__1840&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Pocitos Plaza Hotel,US$110,"8,2",Muy bien,4.249,https://cf.bstatic.com/xdata/images/hotel/square200/134813691.webp?k=8e68e181ffc65d43ceab6157171e8d5c60a23a748ed5a7827109398bb520881f&o=,https://www.booking.com/hotel/uy/pocitos-plaza.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633976&all_sr_blocks=24621202_89152397_0_33_0&highlighted_blocks=24621202_89152397_0_33_0&matching_block_id=24621202_89152397_0_33_0&sr_pri_blocks=24621202_89152397_0_33_0__11016&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Crystal Palace Hotel,US$63,"7,9",Bien,1.662,https://cf.bstatic.com/xdata/images/hotel/square200/48215636.webp?k=7847983394e9eb89b6c1f9a82756ccbb96a5bd05c5910d5317c5795ed2cfd5f5&o=,https://www.booking.com/hotel/uy/crystal-palace.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633976&all_sr_blocks=25903801_328913129_0_42_0&highlighted_blocks=25903801_328913129_0_42_0&matching_block_id=25903801_328913129_0_42_0&sr_pri_blocks=25903801_328913129_0_42_0__6300&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Viajero Montevideo Hostel,US$17,"8,5",Muy bien,1.023,https://cf.bstatic.com/xdata/images/hotel/square200/443619141.webp?k=7575d455ebc72c0e4a885abab3c4c53620bf79cf3f4b40b8d7bafc97bdb58921&o=,https://www.booking.com/hotel/uy/el-viajero-downtown.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633976&all_sr_blocks=26266231_371753717_1_2_0&highlighted_blocks=26266231_371753717_1_2_0&matching_block_id=26266231_371753717_1_2_0&sr_pri_blocks=26266231_371753717_1_2_0__1659&from=searchresults#hotelTmpl
Radisson Montevideo Victoria Plaza Hotel,US$126,"8,5",Muy bien,2.521,https://cf.bstatic.com/xdata/images/hotel/square200/521231809.webp?k=027f95adbab00476833adb1f5461cbaa2502bbd79e575c87d39dcba7fc01bbcd&o=,https://www.booking.com/hotel/uy/radisson-montevideo-victoria-plaza.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633976&all_sr_blocks=0_0_1_0_0&highlighted_blocks=0_0_1_0_0&matching_block_id=0_0_1_0_0&sr_pri_blocks=0_0_1_0_0__12640&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel America,US$60,"7,9",Bien,3.092,https://cf.bstatic.com/xdata/images/hotel/square200/255847283.webp?k=9d78ea03287d4cad06d4a7bf0d8b6e1d8dd29df6b8af47feb815bb2578f7ccbc&o=,https://www.booking.com/hotel/uy/america.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633976&all_sr_blocks=35340004_379748733_0_1_0&highlighted_blocks=35340004_379748733_0_1_0&matching_block_id=35340004_379748733_0_1_0&sr_pri_blocks=35340004_379748733_0_1_0__6000&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hyatt Centric Montevideo,US$170,"8,9",Fabuloso,922,https://cf.bstatic.com/xdata/images/hotel/square200/194941789.webp?k=308b7624d240010c74bd1e07f00441a36ed65e1764d0a3f6585f530eb2b73488&o=,https://www.booking.com/hotel/uy/hyatt-centric-montevideo.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633976&all_sr_blocks=178125601_372523648_2_2_0&highlighted_blocks=178125601_372523648_2_2_0&matching_block_id=178125601_372523648_2_2_0&sr_pri_blocks=178125601_372523648_2_2_0__17010&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel Bahamas,US$69,"7,5",Bien,1.661,https://cf.bstatic.com/xdata/images/hotel/square200/369568534.webp?k=425dd5542c3131345397a5b5527d6c5edfef9d742a5dc1c810ae80dbcc000162&o=,https://www.booking.com/hotel/uy/bahamas.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633976&all_sr_blocks=27213701_105781473_0_1_0&highlighted_blocks=27213701_105781473_0_1_0&matching_block_id=27213701_105781473_0_1_0&sr_pri_blocks=27213701_105781473_0_1_0__6900&from=searchresults#hotelTmpl
Palm Beach Plaza Hotel,US$60,"8,2",Muy bien,472,https://cf.bstatic.com/xdata/images/hotel/square200/53269060.webp?k=014f28187b0e2e859046c7d721c5ba41a3e55d8c547a69fc35a21b55926d1934&o=,https://www.booking.com/hotel/uy/palm-beach-plaza.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633976&all_sr_blocks=42608704_89173499_2_2_0&highlighted_blocks=42608704_89173499_2_2_0&matching_block_id=42608704_89173499_2_2_0&sr_pri_blocks=42608704_89173499_2_2_0__6000&from=searchresults#hotelTmpl
casa vegana,US$15,"8,9",Fabuloso,154,https://cf.bstatic.com/xdata/images/hotel/square200/490238586.webp?k=a754ec012519e25a0d38f6bfab967cd8666db8e50a972d15f9512d6b5684ac87&o=,https://www.booking.com/hotel/uy/posada-al-sur.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633976&all_sr_blocks=35946716_367778613_1_0_0&highlighted_blocks=35946716_367778613_1_0_0&matching_block_id=35946716_367778613_1_0_0&sr_pri_blocks=35946716_367778613_1_0_0__1500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
AHIVÁ Espacio Temporal,US$15,"8,4",Muy bien,844,https://cf.bstatic.com/xdata/images/hotel/square200/274582835.webp?k=5fb2e8dea02005da6349337dcdf40c732f347f0670730e0e2f1687d4e51606da&o=,https://www.booking.com/hotel/uy/casa-magallanes.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633976&all_sr_blocks=209765112_368770876_0_0_0&highlighted_blocks=209765112_368770876_0_0_0&matching_block_id=209765112_368770876_0_0_0&sr_pri_blocks=209765112_368770876_0_0_0__1500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
ibis Styles Montevideo Biarritz,US$85,"8,4",Muy bien,2.107,https://cf.bstatic.com/xdata/images/hotel/square200/246309510.webp?k=ff002a3da11bc37800f923b8d98b0d28efc95caddada0930311eae052ddc4245&o=,https://www.booking.com/hotel/uy/ibis-styles-montevideo.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633976&all_sr_blocks=432406601_377053618_2_1_0&highlighted_blocks=432406601_377053618_2_1_0&matching_block_id=432406601_377053618_2_1_0&sr_pri_blocks=432406601_377053618_2_1_0__8500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Sofitel Montevideo Casino Carrasco & Spa,US$306,"8,4",Muy bien,729,https://cf.bstatic.com/xdata/images/hotel/square200/159588588.webp?k=c2c842cfadeae5bc798fbc0e5b7a930a8c04ababd7ab8e23ea2766f84dfca131&o=,https://www.booking.com/hotel/uy/sofitel-montevideo-casino-carrasco-amp-spa.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633976&all_sr_blocks=43381302_271948462_2_34_0&highlighted_blocks=43381302_271948462_2_34_0&matching_block_id=43381302_271948462_2_34_0&sr_pri_blocks=43381302_271948462_2_34_0__30600&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
NH Montevideo Columbia,US$83,"8,0",Muy bien,2.086,https://cf.bstatic.com/xdata/images/hotel/square200/228250284.webp?k=0a09bb184b6bf9cbb04a5d082b87429eaf114d01f3748eb6c816d94f2402513d&o=,https://www.booking.com/hotel/uy/nh-columbia-montevideo.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633976&all_sr_blocks=0_0_1_1_0&highlighted_blocks=0_0_1_1_0&matching_block_id=0_0_1_1_0&sr_pri_blocks=0_0_1_1_0__8322&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel Ciudadano Suites,US$100,"8,6",Fabuloso,1.305,https://cf.bstatic.com/xdata/images/hotel/square200/211265813.webp?k=00b195368edd0f7d5637c3ce69de42d9fed9123a67f4868c57a3015cb2057db0&o=,https://www.booking.com/hotel/uy/ciudadano-suites.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633976&all_sr_blocks=299408101_374426849_0_42_0&highlighted_blocks=299408101_374426849_0_42_0&matching_block_id=299408101_374426849_0_42_0&sr_pri_blocks=299408101_374426849_0_42_0__10000&from=searchresults#hotelTmpl
Urbano Hotel,US$57,"7,6",Bien,2.133,https://cf.bstatic.com/xdata/images/hotel/square200/330790625.webp?k=7013e8e8a882047b603c55e3d33f81b61cf4d3b25a032e0e4d81ca70f0f2c43a&o=,https://www.booking.com/hotel/uy/urban-express.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633976&all_sr_blocks=25766501_89153451_0_0_0&highlighted_blocks=25766501_89153451_0_0_0&matching_block_id=25766501_89153451_0_0_0&sr_pri_blocks=25766501_89153451_0_0_0__5738&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
Hotel Montevideo - Leading Hotels of the World,US$215,"9,3",Fantástico,741,https://cf.bstatic.com/xdata/images/hotel/square200/405335192.webp?k=817a4cb6c2a8c2ec8f5dc7288dafdf7bd4ae39f40447f682e5a2f152857b45d9&o=,https://www.booking.com/hotel/uy/montevideo.es.html?aid=304142&label=gen173nr-1FCAQoggI46wdIClgEaO0BiAEBmAEKuAEXyAEM2AEB6AEB-AEDiAIBqAIDuAKv0aetBsACAdICJGIwNDRhNzNmLTljOGItNDhlZS1hYzI1LTMyMTliYjMzNzljNtgCBeACAQ&ucfs=1&arphpl=1&checkin=2024-01-23&checkout=2024-01-24&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=e4bf169727d4011c&srepoch=1705633976&all_sr_blocks=902994003_361096049_2_2_0&highlighted_blocks=902994003_361096049_2_2_0&matching_block_id=902994003_361096049_2_2_0&sr_pri_blocks=902994003_361096049_2_2_0__21500&from_sustainable_property_sr=1&from=searchresults#hotelTmpl
